country;year;iso_code;population;gdp;biofuel_cons_change_pct;biofuel_cons_change_twh;biofuel_cons_per_capita;biofuel_consumption;biofuel_elec_per_capita;biofuel_electricity;biofuel_share_elec;biofuel_share_energy;carbon_intensity_elec;coal_cons_change_pct;coal_cons_change_twh;coal_cons_per_capita;coal_consumption;coal_elec_per_capita;coal_electricity;coal_prod_change_pct;coal_prod_change_twh;coal_prod_per_capita;coal_production;coal_share_elec;coal_share_energy;electricity_demand;electricity_demand_per_capita;electricity_generation;electricity_share_energy;energy_cons_change_pct;energy_cons_change_twh;energy_per_capita;energy_per_gdp;fossil_cons_change_pct;fossil_cons_change_twh;fossil_elec_per_capita;fossil_electricity;fossil_energy_per_capita;fossil_fuel_consumption;fossil_share_elec;fossil_share_energy;gas_cons_change_pct;gas_cons_change_twh;gas_consumption;gas_elec_per_capita;gas_electricity;gas_energy_per_capita;gas_prod_change_pct;gas_prod_change_twh;gas_prod_per_capita;gas_production;gas_share_elec;gas_share_energy;greenhouse_gas_emissions;hydro_cons_change_pct;hydro_cons_change_twh;hydro_consumption;hydro_elec_per_capita;hydro_electricity;hydro_energy_per_capita;hydro_share_elec;hydro_share_energy;low_carbon_cons_change_pct;low_carbon_cons_change_twh;low_carbon_consumption;low_carbon_elec_per_capita;low_carbon_electricity;low_carbon_energy_per_capita;low_carbon_share_elec;low_carbon_share_energy;net_elec_imports;net_elec_imports_share_demand;nuclear_cons_change_pct;nuclear_cons_change_twh;nuclear_consumption;nuclear_elec_per_capita;nuclear_electricity;nuclear_energy_per_capita;nuclear_share_elec;nuclear_share_energy;oil_cons_change_pct;oil_cons_change_twh;oil_consumption;oil_elec_per_capita;oil_electricity;oil_energy_per_capita;oil_prod_change_pct;oil_prod_change_twh;oil_prod_per_capita;oil_production;oil_share_elec;oil_share_energy;other_renewable_consumption;other_renewable_electricity;other_renewable_exc_biofuel_electricity;other_renewables_cons_change_pct;other_renewables_cons_change_twh;other_renewables_elec_per_capita;other_renewables_elec_per_capita_exc_biofuel;other_renewables_energy_per_capita;other_renewables_share_elec;other_renewables_share_elec_exc_biofuel;other_renewables_share_energy;per_capita_electricity;primary_energy_consumption;renewables_cons_change_pct;renewables_cons_change_twh;renewables_consumption;renewables_elec_per_capita;renewables_electricity;renewables_energy_per_capita;renewables_share_elec;renewables_share_energy;solar_cons_change_pct;solar_cons_change_twh;solar_consumption;solar_elec_per_capita;solar_electricity;solar_energy_per_capita;solar_share_elec;solar_share_energy;wind_cons_change_pct;wind_cons_change_twh;wind_consumption;wind_elec_per_capita;wind_electricity;wind_energy_per_capita;wind_share_elec;wind_share_energy
Indonesia;1900;IDN;38179623;51910098944.000;;;;;;;;;;;;;;;;;;43.285;1.653;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94.735;3.617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1901;IDN;38668903;51089575936.000;;;;;;;;;;;;;;;;985;16;43.159;1.669;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78.135;2.826;166.620;6.443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1902;IDN;39163692;50067218432.000;;;;;;;;;;;;;;;;-6.341;-106;39.911;1.563;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-39.350;-2.535;99.778;3.908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1903;IDN;39646401;52836519936.000;;;;;;;;;;;;;;;;9.896;155;43.327;1.718;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;136.905;5.350;233.501;9.257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1904;IDN;40116661;53544038400.000;;;;;;;;;;;;;;;;9.479;163;46.878;1.881;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.814;1.186;260.334;10.444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1905;IDN;40574022;54217261056.000;;;;;;;;;;;;;;;;32.035;602;61.197;2.483;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.601;2.152;310.427;12.595;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1906;IDN;41018198;55577653248.000;;;;;;;;;;;;;;;;21.967;545;73.832;3.028;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.340;547;320.392;13.142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1907;IDN;41465424;57010999296.000;;;;;;;;;;;;;;;;8.065;244;78.926;3.273;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.947;2.884;386.494;16.026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1908;IDN;41914876;56856240128.000;;;;;;;;;;;;;;;;6.468;212;83.129;3.484;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.048;488;394.003;16.515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1909;IDN;42366545;59669188608.000;;;;;;;;;;;;;;;;15.421;537;94.925;4.022;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.324;1.210;418.352;17.724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1910;IDN;42820498;63242977280.000;;;;;;;;;;;;;;;;9.919;399;103.235;4.421;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-66;-12;413.645;17.712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1911;IDN;43254585;66186964992.000;;;;;;;;;;;;;;;;11.050;488;113.491;4.909;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.718;1.721;449.287;19.434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1912;IDN;43716724;67204390912.000;;;;;;;;;;;;;;;;995;49;113.409;4.958;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9.096;-1.768;404.101;17.666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1913;IDN;44180972;70277955584.000;;;;;;;;;;;;;;;;-6.732;-334;104.662;4.624;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;461;81;401.697;17.747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1914;IDN;44647319;70179414016.000;;;;;;;;;;;;;;;;8.979;415;112.869;5.039;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.818;500;408.702;18.247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1915;IDN;45118696;71131422720.000;;;;;;;;;;;;;;;;646;33;112.411;5.072;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.848;337;411.908;18.585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1916;IDN;45528655;71621763072.000;;;;;;;;;;;;;;;;20.225;1.026;133.929;6.098;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.260;1.535;441.917;20.120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1917;IDN;45837761;71790051328.000;;;;;;;;;;;;;;;;9.880;602;146.169;6.700;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.526;709;454.414;20.829;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1918;IDN;46225903;73209782272.000;;;;;;;;;;;;;;;;1.215;81;146.702;6.781;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.508;-314;443.806;20.515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1919;IDN;46707410;79914983424.000;;;;;;;;;;;;;;;;14.046;952;165.583;7.734;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.449;4.605;537.833;25.121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1920;IDN;47304303;77485137920.000;;;;;;;;;;;;;;;;-88.842;-6.871;18.242;863;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.491;2.384;581.447;27.505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1921;IDN;47889453;77563396096.000;;;;;;;;;;;;;;;;1043.396;9.004;206.035;9.867;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-254;-70;572.885;27.435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1922;IDN;48464913;79663742976.000;;;;;;;;;;;;;;;;-14.109;-1.392;174.864;8.475;;;;;;;;;;;;;;;;;;;;;;;;;;1.313;27.086;1.313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;975;267;571.602;27.703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1923;IDN;49048301;81177518080.000;;;;;;;;;;;;;;;;11.047;936;191.872;9.411;;;;;;;;;;;;;;;;;;;;;;;;;37.615;494;36.831;1.806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.934;5.245;671.742;32.948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1924;IDN;49640203;85424193536.000;;;;;;;;;;;;;;;;25.173;2.369;237.308;11.780;;;;;;;;;;;;;;;;;;;;;;;;;27.333;494;46.339;2.300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.283;1.082;685.521;34.029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;1925;IDN;50240326;87028097024.000;;;;;;;;;;;;;;;;-3.179;-374;227.020;11.406;;;;;;;;;;;;;;;;;;;;;;;;;21.466;494;55.613;2.794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.785;1.628;709.740;35.658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
